Zoning Authority,Project Status,Developer Name,Project Type,Project Name ,Project End Date,Escrow Agent Name ,No:of buildings,Project Status,Project Start Date,Master Project,No:of Units,No:of Villas,Area Name ,Percent Completed
Dubai Municipality,NOT_STARTED,Midan Group (LLC),buildings,The High Grove,31-12-2028,First Abu Dhabi Bank PJSC,1,under construction,01-09-2025,,296,0,Bukadra,0
Dubai Municipality,FINISHED,Orion Real Estate Development LLC,buildings,Orion Building,15-07-2022,Emirates Islamic Bank Public Joint Stock Company,1,success,01-01-2016,,196,0,Al Barshaa South Third,100
Licenses,FINISHED,Jumeirah Village (LLC),buildings,Benghati Onyx,01-10-2024,Sharjah Islamic Bank,1,success,23-03-2023,Jumeirah Village Circle,507,0,Al Barsha South Fourth,100
Licenses,ACTIVE,Jumeirah Village (LLC),buildings,(Maison d'Alize I),31-03-2027,Abu Dhabi Commercial Bank,1,effective,01-04-2024,Jumeirah Village Circle,351,0,Al Barsha South Fourth,3
Dubai Development Authority,ACTIVE,Al Jazeera Real Estate Oasis (LLC),buildings,Damac Lagoons - Lagoon Views 7,,Abu Dhabi Islamic Bank,2,effective,22-04-2024,,96,0,Al Hebiah Fifth,5
Dubai Municipality,NOT_STARTED,Emaar Development (Public Shareholding Company),villas,Grand Polo - Chevalia Fields,30-04-2029,National Bank of Ras Al Khaimah PJSC,0,under construction,13-03-2025,,0,0,Dubai Investment Park Second,0
Dubai Development Authority,FINISHED,Dubai Hills Estate LLC,villas,Parkway Vistas,24-08-2019,Dubai Islamic Bank (Public Joint Stock Company),0,success,06-11-2016,DUBAI HILLS - PARKWAY VISTAS,0,0,Hadaeq Sheikh Mohammed Bin Rashid,100
Dubai Development Authority,FINISHED,Dubai Healthcare City Free Zone LLC,buildings,O10,30-11-2022,Mashreq Bank (Public Joint Stock Company),1,success,01-09-2021,Dubai Health Care City Phase 2,126,0,Al Jadaf,100
Dubai Silicon Oasis Authority,FINISHED,Dubai Integrated Economic Zones Authority,buildings,Silicon Boulevard,31-05-2010,Bank of Baroda,2,success,01-02-2007,Silicon Oasis,206,0,Nadd Hessa,100
Dubai Development Authority,ACTIVE,Emaar Development (Public Shareholding Company),Villa complex,The Valley - Velora,31-08-2028,First Abu Dhabi Bank PJSC,0,effective,23-08-2024,,0,488,Al Yufrah 1,8
Licenses,CONDITIONAL_ACTIVATING,Nakheel Company (P.S.C.),buildings,Jumeirah Heights,01-01-2013,Mashreq Bank (Public Joint Stock Company),4,Conditional activation,09-01-2006,Jumeirah Islands,1372,11,Al Thanyah Fifth,32
Dubai Development Authority,FINISHED,Ramram LLC,buildings,Q Point Liwan -PLOT R052,28-09-2016,Mashreq Bank (Public Joint Stock Company),1,success,04-08-2008,Liwan1,67,0,Wadi Al Safa 2,100
Licenses,ACTIVE,Nakheel Company (P.S.C.),buildings,Equity Gates,,Abu Dhabi Commercial Bank,1,effective,06-10-2022,Down Town Jabal Ali,284,0,Jabal Ali Industrial Second,90
Licenses,ACTIVE,Al Nakheelah - Deera (LLC),buildings,Mackerel Tower,01-04-2026,First Abu Dhabi Bank PJSC,1,effective,01-11-2024,Palm Deira,62,0,Palm Deira,9
Dubai South,FINISHED,Dubai World Trade Centre LLC,buildings,Mag 5 Boulevard,06-02-2020,Emirates NBD Bank (P.S.C.),13,success,01-11-2015,Dubai South Residential District,1452,0,Madinat Al Mataar,100
Dubai Development Authority,FINISHED,City Walk Residential 1 LLC,buildings,"No.1, No.2A, No.2B and No.3A, No.3B City Walk Residential",07-02-2017,Noor Bank (Public Shareholding Company),5,success,18-05-2013,City Walk,286,0,Al Wasl,100
Dubai Development Authority,ACTIVE,Emaar Development (Public Shareholding Company),Villa complex,The Valley - Farm Grove 2,31-10-2028,Emirates NBD Bank (P.S.C.),0,effective,28-02-2025,,0,290,Al Yufrah 1,1
Dubai Development Authority,ACTIVE,DHAM Free Zone LLC,buildings,Design Quarter,25-02-2027,Emirates NBD Bank (P.S.C.),3,effective,25-05-2023,Business Park,558,0,Zaabeel Second,14
Dubai Municipality,ACTIVE,Expo City Real Estate Development LLC,buildings,Expo City Oasis Residences 01,15-06-2027,Emirates NBD Bank (P.S.C.),21,effective,01-05-2025,Dubai World Central,288,0,Madinat Al Mataar,47
Licenses,FINISHED,Al Farjan (LLC),buildings,Roy Mediterranean Hotel Apartments,11-03-2018,Abu Dhabi Commercial Bank,1,success,15-05-2016,Al Furjan,273,0,Jabal Ali First,100
Licenses,FINISHED,Nakheel Company (P.S.C.),buildings,Nadine's Residence 2,,Mashreq Bank (Public Joint Stock Company),1,success,01-08-2023,Al Furjan,102,0,Jabal Ali First,100
Dubai Development Authority,FINISHED,Emaar Properties (P.S.C.),buildings,Imperial Avenue,30-10-2023,Abu Dhabi Commercial Bank,1,success,21-09-2016,DownTown Dubai,431,0,Burj Khalifa,100
Licenses,ACTIVE,Jumeirah Village (LLC),buildings,Sonnet Residences by Condor,,Abu Dhabi Commercial Bank,1,effective,06-03-2024,Jumeirah Village Triangle,185,0,Al Barsha South Fifth,17
Dubai Silicon Oasis Authority,FINISHED,Dubai Integrated Economic Zones Authority,buildings,Topaz Residensis 3,20-01-2020,Dubai Islamic Bank (Public Joint Stock Company),1,success,05-06-2014,Silicon Oasis,112,0,Nadd Hessa,100
Dubai Development Authority,ACTIVE,Business Bay (LLC),buildings,Regent Residences Dubai Sunkry Place,31-12-2027,Mashreq Bank (Public Joint Stock Company),2,effective,01-07-2024,Business Bay,65,0,Business Bay,1
Dubai Municipality,PENDING,Emaar Properties (P.S.C.),buildings,Grand Boulevard,,#VALUE!,0,Under registration,,DownTown Dubai,0,0,Burj Khalifa,
Licenses,FINISHED,Jumeirah Village (LLC),buildings,Avanos,01-11-2023,First Abu Dhabi Bank PJSC,1,success,01-11-2021,Jumeirah Village Circle,96,0,Al Barsha South Fourth,100
Dubai Development Authority,FINISHED,Damac Crescent Properties (LLC),villas,Damac Hills - Piccadilly Green,14-02-2018,Abu Dhabi Commercial Bank,0,success,01-07-2013,DAMAC HILLS,0,161,Al Hebiah Third,100
Dubai Silicon Oasis Authority,FINISHED,Dubai Integrated Economic Zones Authority,buildings,Lee Prezdem,17-08-2016,Dubai Islamic Bank (Public Joint Stock Company),2,success,05-10-2008,Silicon Oasis,200,0,Nadd Hessa,100
Dubai South,ACTIVE,Dubai Aviation City Corporation,buildings,Bling Avenue 1,28-07-2026,United Bank Limited (Management Office),1,effective,28-10-2024,Dubai South Residential District,40,0,Madinat Al Mataar,37
Licenses,PENDING,Dubai Maritime City LLC,buildings,Al Vento,30-09-2029,Procedure Participant Ar,0,Under registration,30-09-2025,Dubai Maritime City,0,0,Madinat Dubai Almelaheyah,0
Dubai Development Authority,ACTIVE,Harbor Real Estate LLC,buildings,Damac Bay 2,,Emirates NBD Bank (P.S.C.),2,effective,01-07-2023,Dubai Harbour,646,0,Marsa Dubai,14
Dubai Development Authority,FINISHED,"Nashama Real Estate, owned by Nashmi Development, a single-person company LLC.",buildings,Leva,30-09-2025,First Abu Dhabi Bank PJSC,1,success,28-02-2023,TOWN SQUARE,484,0,Al Yelayiss 2,100
Licenses,FINISHED,Nakheel Company (P.S.C.),buildings,Viceroy Residences Hotels and Resorts,14-11-2016,Industrial and Commercial Bank of China Limited - Abu Dhabi Branch,1,success,27-05-2013,Palm Jumeirah,708,0,Palm Jumeirah,100
Dubai Municipality,ACTIVE,Emaar Properties (P.S.C.),buildings,The Residence | Burj Khalifa,31-12-2024,Dubai Islamic Bank (Public Joint Stock Company),2,effective,21-03-2023,DownTown Dubai,35,0,Burj Khalifa,80
Licenses,ACTIVE,Al Farjan (LLC),buildings,Valoris Residence,31-08-2026,Mashreq Bank (Public Joint Stock Company),1,effective,31-08-2024,Al Furjan,90,0,Jabal Ali First,40
Dubai Development Authority,NOT_STARTED,Dubai Properties (LLC),villas,Hills Report,30-06-2028,Commercial Bank of Dubai (P.S.C.),0,under construction,30-06-2025,,0,902,Al Hebiah Fifth,0
Dubai Development Authority,NOT_STARTED,Majid Al Futtaim Integrated Cities Projects UAE LLC,buildings,Lassina,30-12-2027,Emirates NBD Bank (P.S.C.),3,under construction,01-12-2024,,324,0,Wadi Al Safa 4,0
Dubai Municipality,FINISHED,Dubai Real Estate Investment (LLC),buildings,Mirdif Hills - Nasayem Avenue,03-03-2020,First Abu Dhabi Bank PJSC,3,success,21-11-2016,,407,0,Mirdif,100
Licenses,ACTIVE,Nakheel Company (P.S.C.),buildings,Luminar Tower Two,27-10-2026,Abu Dhabi Islamic Bank,1,effective,27-08-2024,Jumeirah Village Triangle,168,0,Al Barsha South Fifth,13
Dubai Development Authority,FINISHED,Emaar Development (Public Shareholding Company),Villa complex,Arabian Quarters - John 2,31-10-2024,Abu Dhabi Commercial Bank,0,success,10-02-2022,,0,35,Wadi Al Safa 5,100
Dubai Development Authority,PENDING,DHAM Free Zone LLC,buildings,Golf Traces,31-12-2026,Mashreq Bank (Public Joint Stock Company),1,Under registration,01-06-2025,International Media Production Zone,60,0,Me'Aisem First,0
Dubai Municipality,ACTIVE,Shoba LLC,buildings,The Highbury,,Commercial Bank of Dubai (P.S.C.),1,effective,17-04-2023,SOBHA HARTLAND,342,0,Al Merkadh,37
Dubai Municipality,ACTIVE,Emaar Properties (P.S.C.),villas,The Oasis - Palmyra,,Emirates NBD Bank (P.S.C.),0,effective,14-08-2023,,0,0,Me'Aisem Second,34
Dubai Development Authority,ACTIVE,Emaar Development (Public Shareholding Company),buildings,Excuse Living Residences,31-12-2025,Emirates NBD Bank (P.S.C.),1,effective,07-12-2022,DownTown Dubai,234,0,Burj Khalifa,81
Dubai Development Authority,FINISHED,Liwan (LLC),buildings,Finistor Benisseri,09-01-2023,Mashreq Bank (Public Joint Stock Company),2,success,01-06-2019,Arjan,419,0,Al Barshaa South Third,100
Dubai Development Authority,ACTIVE,Union Properties (Public Joint Stock Company),buildings,Shoba Orbis,31-12-2028,Dubai Islamic Bank (Public Joint Stock Company),8,effective,01-06-2024,Motor City,2995,0,Al Hebiah First,6
Dubai Development Authority,NOT_STARTED,Liwan (LLC),buildings,Samana Prairie Avenue,31-10-2028,Dubai Islamic Bank (Public Joint Stock Company),1,under construction,01-06-2025,Majan,349,0,Wadi Al Safa 3,0
Dubai Municipality,ACTIVE,Midan Group (LLC),buildings,Sukoon Bay Nouri,31-12-2026,National Bank of Kuwait K.S.C.P. Dubai Branch,1,effective,01-05-2025,Meydan Racecourse Community,41,0,Nad Al Shiba First,13
Dubai Development Authority,FINISHED,The Lagoons Phase One LLC,buildings,Island Park,24-02-2025,Dubai Islamic Bank (Public Joint Stock Company),1,success,15-08-2017,Dubai Creek Harbour,160,0,Al Khairan First,100
Dubai Municipality,FINISHED,Emaar Properties (P.S.C.),buildings,Il Primo,09-12-2022,First Abu Dhabi Bank PJSC,1,success,01-11-2016,DownTown Dubai,137,0,Burj Khalifa,100
Dubai Development Authority,ACTIVE,Liwan (LLC),buildings,Deansgate by ADI,,First Abu Dhabi Bank PJSC,1,effective,07-12-2022,Majan,87,0,Wadi Al Safa 3,91
Dubai Development Authority,NOT_STARTED,Maras Real Estate (LLC),villas,Jumeirah Residences - Asura Bay - Ocean Mansions,31-03-2029,Abu Dhabi Commercial Bank,0,under construction,02-05-2025,LA MER,0,0,Jumeirah First,0
Licenses,FINISHED,Jumeirah Village (LLC),Villa complex,Park Villa,01-05-2018,Emirates Islamic Bank Public Joint Stock Company,0,success,15-06-2014,Jumeirah Village Circle,0,22,Al Barsha South Fourth,100
Dubai Development Authority,FINISHED,Dubai Properties (LLC),buildings,Scala Tower,07-09-2010,#VALUE!,1,success,18-09-2007,Business Bay,188,0,Business Bay,100
Licenses,NOT_STARTED,Jumeirah Village (LLC),buildings,THE BOROUGH,31-03-2028,Emirates NBD Bank (P.S.C.),1,under construction,01-08-2025,Jumeirah Village Circle,157,0,Al Barsha South Fourth,0
Licenses,FINISHED,Nakheel Company (P.S.C.),buildings,Roxana Residential Complex,28-07-2019,Commercial Bank of Dubai (P.S.C.),4,success,15-11-2015,Jumeirah Village Circle,255,0,Al Barsha South Fourth,100
Dubai Development Authority,FINISHED,TECOM Investments Free Zone LLC,buildings,Bella Rose,27-12-2020,Dubai Islamic Bank (Public Joint Stock Company),1,success,25-09-2018,Dubai Science Park,490,0,Al Barshaa South Second,100
Dubai Development Authority,FINISHED,Dubai Properties (LLC),Villa complex,Villanova Amaranta B,30-07-2021,Abu Dhabi Commercial Bank,0,success,15-07-2018,,0,422,Wadi Al Safa 5,100
Dubai Municipality,FINISHED,Emaar Properties (P.S.C.),Villa complex,The splendor of the Emirates? Springs 9,01-01-2005,Mashreq Bank (Public Joint Stock Company),0,success,01-01-2002,Springs - 2,0,318,Al Thanayah Fourth,100
Dubai Development Authority,FINISHED,Ramram LLC,buildings,Q Point Liwan -PLOT R071,06-10-2013,Mashreq Bank (Public Joint Stock Company),1,success,24-06-2008,Liwan1,61,0,Wadi Al Safa 2,100
Dubai Municipality,ACTIVE,Midan Group (LLC),villas,Muse Mansions,31-12-2025,Emirates NBD Bank (P.S.C.),0,effective,24-02-2023,Meydan Racecourse Community,0,0,Nad Al Shiba First,40
Dubai South,ACTIVE,Dubai Aviation City Corporation,buildings,Trafford Residence,31-12-2025,Emirates Islamic Bank Public Joint Stock Company,1,effective,01-06-2024,Dubai South Residential District,44,0,Madinat Al Mataar,55
Licenses,PENDING,International City (LLC),buildings,Chapter 1 by Newbury Developments,01-10-2028,National Bank of Kuwait K.S.C.P. Dubai Branch,1,Under registration,01-10-2025,International City Phase 3,127,0,Warsan Fourth,0
Dubai Development Authority,NOT_STARTED,DHAM Free Zone LLC,buildings,Al-Hussein Residence 4,30-12-2026,Emirates NBD Bank (P.S.C.),1,under construction,29-06-2025,,248,0,Saih Shuaib 2,0
Licenses,ACTIVE,Nakheel Company (P.S.C.),buildings,The Alba Residences by Amniat,31-03-2028,Emirates NBD Bank (P.S.C.),3,effective,01-07-2024,Palm Jumeirah,165,0,Palm Jumeirah,2
Dubai Development Authority,FINISHED,TECOM Investments Free Zone LLC,buildings,Sunpoint Dubai,31-03-2022,Dubai Islamic Bank (Public Joint Stock Company),3,success,07-10-2019,International Media Production Zone,255,0,Me'Aisem First,100
Licenses,ACTIVE,Nakheel Company (P.S.C.),buildings,Pearl House 3 by the franchise,01-08-2026,First Abu Dhabi Bank PJSC,1,effective,01-08-2024,Jumeirah Village Circle,165,0,Al Barsha South Fourth,51
Dubai South,FINISHED,Emaar Dubai South DWC LLC,buildings,III Urbana,31-05-2020,Dubai Islamic Bank (Public Joint Stock Company),55,success,12-08-2017,Dubai World Central,372,0,Madinat Al Mataar,100
Dubai Development Authority,FINISHED,TECOM Investments Free Zone LLC,buildings,Midtown - Dunya,01-03-2020,Dubai Islamic Bank (Public Joint Stock Company),4,success,01-11-2016,International Media Production Zone,591,0,Me'Aisem First,100
Licenses,FINISHED,Nakheel Company (P.S.C.),buildings,Jumeirah Heights Cluster,01-02-2012,Mashreq Bank (Public Joint Stock Company),7,success,09-01-2006,Jumeirah Islands,246,0,Al Thanyah Fifth,100
Dubai Development Authority,FINISHED,Dubai Sports City (LLC),buildings,Hub Canal 2 Tower,20-04-2017,#VALUE!,1,success,17-06-2007,Dubai Sports City,180,0,Al Hebiah Fourth,100
Dubai Municipality,ACTIVE,Dubai Multi Commodities Centre,buildings,Verdi by Shoba,30-06-2027,Emirates NBD Bank (P.S.C.),1,effective,01-04-2023,Jumeirah Lakes Towers,610,0,Al Thanyah Fifth,27
Dubai Development Authority,ACTIVE,Dubai Hills Estate LLC,buildings,Park Horizon,30-09-2026,Abu Dhabi Commercial Bank,3,effective,03-03-2023,Dubai Hills Estate,306,0,Hadaeq Sheikh Mohammed Bin Rashid,71
Licenses,ACTIVE,Palm Jumeirah Company (LLC),buildings,Serenity Living,31-12-2025,Sharjah Islamic Bank,5,effective,01-06-2022,Palm Jumeirah,226,0,Palm Jumeirah,80
Dubai Development Authority,ACTIVE,Dubai Land Residences (LLC),buildings,Time 3,01-08-2027,Emirates Islamic Bank Public Joint Stock Company,1,effective,01-08-2024,Dubai Land Residence Complex,288,0,Wadi Al Safa 5,3
Dubai Development Authority,ACTIVE,Emaar Development (Public Shareholding Company),Villa complex,The Valley - Lilia,,First Abu Dhabi Bank PJSC,0,effective,08-01-2024,,0,406,Al Yufrah 1,72
Licenses,PENDING,Nakheel Company (P.S.C.),buildings,Island Living Residences,01-02-2027,Abu Dhabi Commercial Bank,0,Under registration,01-02-2025,Palm Deira,0,0,Palm Deira,0
Dubai Development Authority,FINISHED,Majid Al Futtaim Integrated Cities Projects UAE LLC,Villa complex,Elan,03-11-2023,Emirates NBD Bank (P.S.C.),0,success,30-06-2020,TILAL AL GHAF,0,916,Al Hebiah Fourth,100
Dubai Municipality,FINISHED,Emaar Properties (P.S.C.),buildings,BD Boulevard Plaza,13-01-2012,#VALUE!,3,success,14-02-2012,DownTown Dubai,217,0,Burj Khalifa,100
Dubai Development Authority,ACTIVE,Liwan (LLC),buildings,Gardens 2,30-12-2025,Emirates NBD Bank (P.S.C.),1,effective,20-04-2024,Arjan,223,0,Al Barshaa South Third,40
Dubai Development Authority,FINISHED,Dubai Sports City (LLC),villas,Prime Villa,31-10-2016,Mashreq Bank (Public Joint Stock Company),0,success,30-09-2013,Dubai Sports City,0,0,Al Hebiah Fourth,100
Dubai Development Authority,FINISHED,Ramram LLC,buildings,Lincoln Park (North Side),31-03-2014,#VALUE!,1,success,05-01-2011,Arjan,172,0,Al Barshaa South Third,100
Licenses,FINISHED,Nakheel Company (P.S.C.),buildings,Morning Tower,12-02-2020,Emirates NBD Bank (P.S.C.),0,success,15-05-2016,Jumeirah Village Circle,0,0,Al Barsha South Fourth,100
Licenses,FINISHED,Jumeirah Village (LLC),buildings,City Apartments,24-06-2018,Dubai Islamic Bank (Public Joint Stock Company),1,success,01-05-2015,Jumeirah Village Circle,70,0,Al Barsha South Fourth,100
Dubai Municipality,FINISHED,Midan Group (LLC),buildings,"Mohammed Bin Rashid Al Maktoum City, District 1, Phase 3, Residences 23",30-01-2023,Dubai Islamic Bank (Public Joint Stock Company),1,success,01-06-2021,Mohammed Bin Rashid AL Maktoum City -District -1 Community,31,0,Al Merkadh,100
Dubai Development Authority,FINISHED,Dubai Healthcare City Free Zone LLC,buildings,Dear Alia Residential,31-08-2019,Abu Dhabi Commercial Bank,1,success,01-10-2016,Dubai Health Care City Phase 2,359,0,Al Jadaf,100
Licenses,NOT_STARTED,Nakheel Company (P.S.C.),buildings,Greygate Residences by ADI,31-03-2028,First Abu Dhabi Bank PJSC,1,under construction,27-11-2024,Jumeirah Village Circle,228,0,Al Barsha South Fourth,0
Dubai Municipality,FINISHED,Dubai Investments Park Development Company (LLC),buildings,Centurion Residence,20-07-2017,Mashreq Bank (Public Joint Stock Company),2,success,01-12-2014,Dubai Investment Park Second,212,0,Dubai Investment Park Second,100
Dubai Municipality,FINISHED,Midan Group (LLC),buildings,Bright Corner,29-09-2019,Dubai Islamic Bank (Public Joint Stock Company),1,success,01-09-2016,Meydan Racecourse Community,43,0,Nad Al Shiba First,100
Dubai Development Authority,NOT_STARTED,DHAM Free Zone LLC,Villa complex,South Park Residences 2 by Wellington,20-06-2028,Abu Dhabi Commercial Bank,0,under construction,20-03-2025,,0,15,Saih Shuaib 2,0
Dubai Development Authority,ACTIVE,Liwan (LLC),buildings,Forest City Tower,09-04-2027,Emirates Islamic Bank Public Joint Stock Company,1,effective,10-10-2024,Majan,253,0,Wadi Al Safa 3,13
Dubai South,FINISHED,Emaar Dubai South DWC LLC,buildings,Gulf Views,15-05-2020,Commercial Bank of Dubai (P.S.C.),3,success,20-07-2017,Dubai World Central,291,0,Madinat Al Mataar,100
Licenses,FINISHED,Jumeirah Village (LLC),buildings,"Diamond View 1, 2, 3, 4",27-11-2013,Emirates Islamic Bank Public Joint Stock Company,0,success,21-11-2008,Jumeirah Village Circle,0,25,Al Barsha South Fourth,100
Dubai Development Authority,NOT_STARTED,Front Line Investment Management LLC,buildings,Damac Hills (2) - Elo 2 and Elo 3,30-06-2027,Emirates NBD Bank (P.S.C.),3,under construction,01-09-2024,DAMAC HILLS 2,1145,0,Madinat Hind 4,0
Licenses,PENDING,Jumeirah Village (LLC),buildings,Xenia Residence,01-03-2027,Arab United Bank,0,Under registration,01-09-2025,Jumeirah Village Circle,0,0,Al Barsha South Fourth,29
Dubai Development Authority,ACTIVE,North Real Estate LLC,villas,Nad Al Sheba Gardens Phase Two,01-12-2024,Commercial Bank of Dubai (P.S.C.),0,effective,10-07-2022,Nad Al Sheba Gardens,0,213,Nad Al Shiba First,99
Dubai Development Authority,FINISHED,Dubai Properties (LLC),buildings,Sundus Layli,30-06-2016,#VALUE!,1,success,31-01-2016,Dubai Land Residence Complex,0,0,Wadi Al Safa 5,100
Dubai Development Authority,PENDING,TECOM Investments Free Zone LLC,buildings,Rawda Plaza,,Dubai Islamic Bank (Public Joint Stock Company),0,Under registration,15-11-2016,Barsha Heights,0,0,Al Thanyah First,33
Dubai Development Authority,FINISHED,Emaar Development (Public Shareholding Company),Villa complex,Arabian Squares - Shams,16-12-2022,First Abu Dhabi Bank PJSC,0,success,15-06-2019,,0,438,Wadi Al Safa 5,100
Dubai Municipality,FINISHED,Midan Group (LLC),buildings,Dear Riviera 32,30-06-2023,Abu Dhabi Commercial Bank,1,success,01-10-2017,Meydan One Community,247,0,Al Merkadh,100
Dubai Development Authority,FINISHED,Liwan (LLC),buildings,Welcome to Residency,30-06-2024,Dubai Islamic Bank (Public Joint Stock Company),1,success,30-10-2021,Arjan,94,0,Al Barshaa South Third,100
Licenses,NOT_STARTED,Nakheel Company (P.S.C.),buildings,Wynwood Residences by Imtiaz,30-09-2027,Ajman Bank PJSC,1,under construction,15-06-2025,Palm Deira,146,0,Palm Deira,0
Dubai Development Authority,ACTIVE,Maras Real Estate (LLC),buildings,Evergreen House,30-06-2026,Abu Dhabi Islamic Bank,1,effective,19-11-2024,Jumeirah Garden City,219,0,Al Satwa,14
Dubai Development Authority,ACTIVE,Al Jazeera Real Estate Oasis (LLC),villas,Damac Lagoons - Monte Carlo,31-12-2025,Emirates NBD Bank (P.S.C.),0,effective,12-02-2022,,0,0,Al Hebiah Fifth,61
Dubai Development Authority,FINISHED,The Lagoons Phase One LLC,buildings,Palace Residences - North,30-06-2027,First Abu Dhabi Bank PJSC,1,success,02-07-2023,Dubai Creek Harbour,340,0,Al Khairan First,100
Dubai Municipality,NOT_STARTED,Dubai Peninsula LLC,buildings,Aman Residences Dubai,31-12-2028,Emirates NBD Bank (P.S.C.),3,under construction,12-07-2025,,74,0,Jumeirah Second,0
Dubai Development Authority,ACTIVE,DHAM Free Zone LLC,buildings,Devin Residencia,,Abu Dhabi Commercial Bank,1,effective,01-02-2024,Dubai Studio City,69,0,Al Hebiah Second,50
Dubai Development Authority,FINISHED,"Nashama Real Estate, owned by Nashmi Development, a single-person company LLC.",Villa complex,Sama Townhouse,15-09-2021,Dubai Islamic Bank (Public Joint Stock Company),0,success,15-10-2018,TOWN SQUARE,0,264,Al Yelayiss 2,100
Licenses,FINISHED,Jumeirah Village (LLC),buildings,Milano Giovanni Boutique Suites,07-10-2019,Mashreq Bank (Public Joint Stock Company),1,success,19-11-2015,Jumeirah Village Circle,127,0,Al Barsha South Fourth,100
Dubai Development Authority,FINISHED,Business Bay (LLC),buildings,Oberoi Centre,01-11-2010,Emirates NBD Bank (P.S.C.),2,success,01-05-2007,Business Bay,131,0,Business Bay,100
Dubai Municipality,ACTIVE,Emaar Development (Public Shareholding Company),buildings,Pelagos by AG,31-03-2026,First Abu Dhabi Bank PJSC,1,effective,01-12-2024,Dubai Marina,296,0,Marsa Dubai,71
Licenses,NOT_STARTED,Nakheel Company (P.S.C.),buildings,Vistara House 2,30-12-2027,Abu Dhabi Islamic Bank,1,under construction,09-06-2025,Al Furjan,82,0,Jabal Ali First,0
Dubai South,FRIEZED,Dubai Aviation City Corporation,buildings,Pulse Avenue of the Garden,01-09-2019,Dubai Islamic Bank (Public Joint Stock Company),1,frozen,01-07-2017,Dubai South Residential District,108,0,Madinat Al Mataar,0
Dubai Development Authority,FINISHED,Front Line Investment Management LLC,villas,Damac Hills (2) - Amazonia - X,18-08-2021,Abu Dhabi Islamic Bank,0,success,21-06-2018,DAMAC HILLS 2,0,0,Madinat Hind 4,100
Licenses,FINISHED,Nakheel Company (P.S.C.),buildings,Royal Amwaj,03-02-2021,#VALUE!,3,success,23-01-2008,Palm Jumeirah,543,18,Palm Jumeirah,100
Dubai Municipality,FINISHED,Dubai Multi Commodities Centre,buildings,A U Tower,30-05-2009,#VALUE!,1,success,30-12-2008,Jumeirah Lakes Towers,421,0,Al Thanyah Fifth,100
Licenses,ACTIVE,Jumeirah Village (LLC),buildings,2 Beverly Residence,,Mashreq Bank (Public Joint Stock Company),1,effective,01-06-2023,Jumeirah Village Circle,108,0,Al Barsha South Fourth,88
Dubai Development Authority,FINISHED,Dubai Properties (LLC),buildings,Ivory Morning,30-12-2010,#VALUE!,1,success,01-05-2007,Business Bay,92,0,Business Bay,100
Dubai Development Authority,ACTIVE,Liwan (LLC),buildings,Alba,,Dubai Islamic Bank (Public Joint Stock Company),1,effective,01-12-2023,Liwan2,22,0,Wadi Al Safa 2,65
Licenses,FINISHED,International City (LLC),villas,Warsan Village B & C,26-06-2016,Mashreq Bank (Public Joint Stock Company),0,success,25-09-2013,International City Phase 1,0,0,Al Warsan First,100
